source_kind,token_family,meaning,pilot_criticality,downstream_owner,semantic_risk,notes
PCC,PCC include directives,Campaign/source-package composition edges linking root PCCs to additional PCC bundles.,critical,GE-02 source package + GE-03 parser,medium,Grounded in core_rulebook.pcc lines 42-43 and 90-96.
PCC/LST object declarations,CLASS,Routes class definitions into class declaration files.,critical,GE-02 class object + GE-03 parser,medium,Grounded in core_rulebook.pcc line 63 and Fighter entry in cr_classes.lst line 139.
PCC/LST object declarations,RACE,Routes race definitions into race declaration files.,critical,GE-02 race object + GE-03 parser,medium,Grounded in core_rulebook.pcc line 73 and human_races.lst line 6.
PCC/LST object declarations,SKILL,Routes skill definitions into skill declaration files.,critical,GE-02 skill object + GE-03 parser,medium,Grounded in core_rulebook.pcc line 74 and cr_skills.lst lines 7 and 10.
PCC/LST object declarations,EQUIPMENT,"Routes armor, weapon, and item definitions into equipment declaration files.",critical,GE-02 equipment object + GE-03 parser,medium,Grounded in core_rulebook.pcc lines 66-68 and cr_equip_arms_armor.lst lines 40 and 165.
PCC/LST object declarations,WEAPONPROF / ARMORPROF / SHIELDPROF,"Declares proficiency catalogs referenced by class features, feats, and equipment.",supporting,GE-02 proficiency concept + GE-03 parser,medium,Grounded in core_rulebook.pcc lines 78-80 and cr_profs_weapon.lst line 57.
LST entry tokens,ABILITY,"Grants or references class features, archetypes, class-skill packages, and other ability-bearing constructs.",critical,GE-02 effect/ability model + GE-03 parser,high,Grounded in cr_classes.lst line 143 and cr_abilities_class.lst lines 102 and 236-257.
LST entry tokens,AUTO,Automatically grants proficiencies or shield/armor capabilities without player choice.,critical,GE-02 effect/grant model + GE-03 parser,high,"Grounded in cr_feats.lst lines 19-21, 150, and 175."
LST entry tokens,BONUS,"Encodes derived numeric effects, class progression, combat modifiers, and variable changes.",critical,GE-02 effect/formula model + GE-04 engine,high,"Grounded in cr_classes.lst line 139, cr_skills.lst lines 7 and 10, and cr_equip_arms_armor.lst line 40."
LST entry tokens,PRE* prerequisite guards,"Encodes conditional gates such as prerequisite chains, archetype suppressions, and proficiency requirements.",critical,GE-02 prerequisite model + GE-03 parser,high,"Grounded in cr_feats.lst lines 19, 21, and 175 plus cr_abilities_class.lst lines 236-242."
LST entry tokens,CSKILL,Marks a skill as a class skill for a class or skill package.,critical,GE-02 skill model + GE-04 engine,medium,Grounded in cr_abilities.lst lines 567 and 570 and cr_abilities_class.lst line 2835.
LST entry tokens,TYPE,"Applies overloaded classification facets used for filtering, grouping, and semantics.",supporting,GE-02 typing/taxonomy model + GE-03 parser,high,"Grounded in human_races.lst line 6, cr_profs_weapon.lst line 57, and cr_equip_arms_armor.lst lines 40 and 165."
LST entry tokens,DEFINE / VAR,Introduces named variables and progression anchors consumed by later formulas.,supporting,GE-02 formula model + GE-04 engine,high,Grounded in cr_classes.lst lines 139 and 141 and cr_abilities_class.lst lines 102 and 253-256.
LST entry tokens,PROFICIENCY,Links an equipment record to the proficiency required to wield or wear it.,critical,GE-02 equipment/proficiency references + GE-03 parser,medium,Grounded in cr_equip_arms_armor.lst lines 40 and 165.
