artifact_kind,source_path,evidence_status,pilot_role,object_classes,include_edges,notes
pcc_root,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/core_rulebook.pcc,grounded:file exists; core_rulebook.pcc lines 42-96 enumerate include and object references,pilot-critical,PCC campaign root; campaign metadata,core_rulebook.pcc -> conversion_support.pcc; _core_essentials.pcc; cr_*.lst; race _race.pcc includes,Authoritative pilot campaign root; directly loads the core-rulebook standard files and direct PCC includes that bound the Human Fighter level 1 documentary slice.
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/homebrew/conversion_support/conversion_support.pcc,grounded: core_rulebook.pcc line 42,supporting-candidate,PCC include,core_rulebook.pcc -> conversion_support.pcc,Referenced via PCC include token @/homebrew/conversion_support/conversion_support.pcc
pcc_include,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/_core_essentials.pcc,grounded: core_rulebook.pcc line 43,supporting,PCC include,core_rulebook.pcc -> _core_essentials.pcc,Supporting include surface loaded directly from core_rulebook.pcc; provides shared race/framework substrate around the Human race package.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__align.lst,grounded: core_rulebook.pcc line 47,adjacent-candidate,ALIGNMENT,core_rulebook.pcc -> cr__align.lst,ALIGNMENT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__datacontrols.lst,grounded: core_rulebook.pcc line 48,adjacent-candidate,DATACONTROL,core_rulebook.pcc -> cr__datacontrols.lst,DATACONTROL declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__datatables.lst,grounded: core_rulebook.pcc line 49,adjacent-candidate,DATATABLE,core_rulebook.pcc -> cr__datatables.lst,DATATABLE declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__dynamic.lst,grounded: core_rulebook.pcc line 50,adjacent-candidate,DYNAMIC,core_rulebook.pcc -> cr__dynamic.lst,DYNAMIC declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__globalmodifiers.lst,grounded: core_rulebook.pcc line 51,adjacent-candidate,GLOBALMODIFIER,core_rulebook.pcc -> cr__globalmodifiers.lst,GLOBALMODIFIER declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__saves.lst,grounded: core_rulebook.pcc line 52,pilot-critical,SAVE,core_rulebook.pcc -> cr__saves.lst,SAVE declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__stats.lst,grounded: core_rulebook.pcc line 53,pilot-critical,STAT,core_rulebook.pcc -> cr__stats.lst,STAT declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__variables.lst,grounded: core_rulebook.pcc line 54,pilot-critical,VARIABLE,core_rulebook.pcc -> cr__variables.lst,VARIABLE declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilitycategories.lst,grounded: core_rulebook.pcc line 58,supporting,ABILITYCATEGORY,core_rulebook.pcc -> cr_abilitycategories.lst,ABILITYCATEGORY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities.lst,grounded: core_rulebook.pcc line 59,supporting,ABILITY,core_rulebook.pcc -> cr_abilities.lst,ABILITY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst,grounded: core_rulebook.pcc line 60,pilot-critical,ABILITY,core_rulebook.pcc -> cr_abilities_class.lst,ABILITY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_race.lst,grounded: core_rulebook.pcc line 61,supporting,ABILITY,core_rulebook.pcc -> cr_abilities_race.lst,ABILITY declaration file referenced directly from campaign root.
lst_reference,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_globalvar.lst,grounded: core_rulebook.pcc line 62,supporting,ABILITY,core_rulebook.pcc -> cr_abilities_globalvar.lst,ABILITY declaration file referenced directly from campaign root.
