token_family_or_construct,source_path,source_span_precision,reason,blocking_severity,recommended_owner,workaround_or_mitigation,evidence_link,review_status
PREMULT / PREPROFWITH* prerequisite chains for armor and tower-shield feats,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst,"exact lines 19, 21, and 175","Multi-branch prerequisite algebra is present in the pilot-adjacent proficiency feats, but GE-02 has not yet fixed the canonical prerequisite model.",medium,GE-02 prerequisite model + GE-03 parser,"For the pilot slice, prefer inherited Fighter proficiencies first and carry the feat prerequisite expressions forward unchanged as documentary debt.",cr_feats.lst:19; cr_feats.lst:21; cr_feats.lst:175,open
Archetype-conditioned proficiency suppression in Fighter class-feature grants,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst,exact lines 236-242,Standard Fighter proficiencies are wrapped in !PREABILITY and archetype type guards that require conditional grant suppression semantics.,medium,GE-02 class-feature/effect model + GE-03 parser,Keep the GE-01 pilot scoped to standard Fighter and record archetype overrides as unresolved import debt.,cr_abilities_class.lst:236-242,open
Formula-bearing BONUS / DEFINE / VAR expressions for Fighter progression,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst,exact lines 139-141,"Full-BAB and save progression are encoded as formulas and variables, but GE-02 has not yet fixed the canonical formula substrate or GE-04 execution semantics.",high,GE-02 formula model + GE-04 engine,Document expected level-1 Fighter outcomes conceptually while preserving the raw formula text for later parsing and execution.,cr_classes.lst:139-141,open
"Adjacent non-pilot domains: deities, domains, spells, companions, and magic-item surfaces",/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/core_rulebook.pcc,file-level; core_rulebook.pcc lines 64-88,These files are explicitly referenced by the campaign root but exceed the Human Fighter level-1 pilot boundary.,low,Later non-pilot epic(s),Keep them inventoried as adjacent-candidate surfaces and defer detailed token work until a later pilot expansion.,core_rulebook.pcc:64-88,deferred
Human race BIOSET support surface,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_biosettings.lst,file-level; referenced by _race.pcc line 22,"The Human subtree references a biosettings file, but its necessity for the first import slice is not yet established.",low,GE-03 parser + later character-authoring scope,Inventory the file as adjacent and avoid assuming it is required for the initial pilot import until evidence says otherwise.,_race.pcc:22,needs-review
CHOOSE + MULT semantics on Martial Weapon Proficiency,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_feats.lst,exact line 120,"The pilot-adjacent feat is repeatable and chooses one martial proficiency from a catalog subset, but GE-02 has not yet fixed the canonical choice/subselection model.",medium,GE-02 choice model + GE-03 parser + GE-04 engine,Keep the full CHOOSE expression and MULT flag as documentary debt; do not flatten the feat into a boolean proficiency toggle.,cr_feats.lst:120,open
Human racial-trait indirection via ABILITY carrier rows,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_races.lst + /home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_race.lst,human_races.lst line 6; cr_abilities_race.lst lines 134-139,"The pilot Human row defers key racial semantics to separately named ability carrier rows, but GE-02 has not yet fixed the canonical race-trait composition model.",medium,GE-02 race-trait/effect model + GE-03 parser,Preserve the Human race row and the linked carrier names explicitly; avoid collapsing trait decomposition into one opaque description.,human_races.lst:6; cr_abilities_race.lst:134-139,open
Fighter class-skill carrier through CSKILL type targets,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_abilities_class.lst,exact line 2835,The class-skill set mixes explicit skills with type-group targets such as TYPE=Craft and TYPE=Profession; GE-02 has not yet fixed whether those remain type selectors or expand to concrete skills.,medium,GE-02 skill relation model + GE-03 parser,Preserve both explicit skill names and TYPE selectors; do not pre-expand type selectors without a canonical rule.,cr_abilities_class.lst:2835,open
Human trait replacement flags and PREFACT gates,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_globalvar.lst,lines 10-24,Human default traits can be independently replaced through flags and PREFACT gates; GE-02 has not yet defined canonical trait override semantics.,medium,GE-02 race-trait composition model + GE-04 engine,Preserve each replacement flag and grant/removal row; avoid flattening Human into a single static trait bundle.,human_abilities_globalvar.lst:10-24,open
base-stat formula and derived variable surface,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr__stats.lst,lines 3-9,Ability scores use formula and variable machinery that influences many later systems; GE-02 has not yet fixed the formula/value model.,high,GE-02 stat/formula model + GE-04 engine,Preserve full formula text and key derived variables; do not translate formulas into prose-only requirements.,cr__stats.lst:3-9,open
equipment-to-proficiency references for armor and shields,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_equip_arms_armor.lst,armor lines 37-48; shield lines 109-114,"Equipment rows bind to proficiency catalog entries and mechanical fields, but GE-02 has not yet fixed the canonical equipment/proficiency reference model.",medium,GE-02 equipment/proficiency model + GE-03 parser,Preserve PROFICIENCY tokens alongside equipment fields; avoid resolving them to booleans or free text.,cr_equip_arms_armor.lst:37-48;109-114,open
STARTSKILLPTS + FighterSkillPoints variable chain,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_rulebook/cr_classes.lst#Fighter,exact line 141,"Fighter starting skill-point budget is formula-backed rather than literal, but GE-02 has not yet fixed the canonical class-initialization/skill-budget model.",medium,GE-02 class/character-creation model + GE-04 engine,"Preserve STARTSKILLPTS, DEFINE, and BONUS dependency chain; do not collapse it to a guessed integer budget.",cr_classes.lst:141,open
ABILITYPOOL choice entitlements on Human racial traits,/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/human/human_abilities_race.lst,lines 18 and 21,"Human ability-score and bonus-feat choices are expressed as pool entitlements, but GE-02 has not yet fixed the canonical choice/pool ownership model.",medium,GE-02 choice/pool model + GE-04 engine,"Preserve pool kind, count, owning trait, and replacement gates; do not inline the choices as prose-only behavior.",human_abilities_race.lst:18;21,open
